Experiment,Ticker,NumFeatures,RMSE,MAE
full_multimodal,BTC-USD,12,0.007639948569274185,0.006247563639370618
market_onchain,BTC-USD,8,0.007679591077416052,0.00618023479585985
sentiment_only,BTC-USD,1,0.0091839393341587,0.007771835662179509
market_only,BTC-USD,6,0.010228136162779601,0.008594449282452538
market_sentiment,BTC-USD,7,0.010970020373083696,0.009381788805069553
market_macro,BTC-USD,7,0.010970020373083696,0.009381788805069553
onchain_only,BTC-USD,2,0.012231598887091947,0.009862827151253684
full_multimodal_no_rv,BTC-USD,9,0.014729829594267874,0.011660335689922769
