Model,Scenario,Clean_RMSE,Perturbed_RMSE,Delta_RMSE,Clean_DoC,Perturbed_DoC,Delta_DoC
CNN-BiLSTM-Attn,missing_0.10,0.012306707848431428,0.03975753603845452,0.02745082819002309,0.5097493036211699,0.5181058495821727,0.00835654596100277
CNN-BiLSTM-Attn,missing_0.20,0.012306707848431428,0.07407077901739945,0.06176407116896802,0.5097493036211699,0.5097493036211699,0.0
CNN-BiLSTM-Attn,noise_0.10,0.012306707848431428,0.017344983660810713,0.005038275812379285,0.5097493036211699,0.5097493036211699,0.0
CNN-BiLSTM-Attn,noise_0.20,0.012306707848431428,0.03769685863394839,0.025390150785516957,0.5097493036211699,0.4568245125348189,-0.05292479108635095
