Model,RMSE,MAE,DoC,R2
HAR-RV,0.008318344954619332,0.00594668544972794,0.5292479108635098,0.824119010996039
ARIMA,0.008554110191467743,0.005879477378338486,0.520891364902507,0.814007801738914
Residual Hybrid (ARIMA+DL-resid),0.01050190621065704,0.007318697209904573,0.5153203342618384,0.7196624216476302
GARCH,0.011672602919062051,0.009453054094503048,0.48746518105849584,0.6536776894168004
Hybrid (ARIMA+DL),0.013012076462239118,0.009041973437057723,0.5403899721448467,0.5696336965297679
Naive_Persistence,0.021836418089052356,0.018208124759721545,0.5125348189415042,-4.883458153266333
CNN-BiLSTM-Attn,0.0219187248908392,0.015017197956994872,0.5515320334261838,-0.22116856997291334
CNN-only,0.033612292328262135,0.018473107505935556,0.5125348189415042,-1.871714827419845
GJR-GARCH,0.03794822070629953,0.03305763569032834,0.4735376044568245,-2.660394399054841
LSTM-only,0.058795446455550814,0.027679425435144366,0.45403899721448465,-7.786834196849586
GRU-only,0.07407828713134178,0.030973170015087852,0.4818941504178273,-12.948480843547653
SVR (RBF),0.0806892396163452,0.05624316823762824,0.5181058495821727,-15.549172861923452
