Regime,Model,RMSE,MAE,N
bear,ARIMA,0.004748282684148625,0.0022739443625110945,53
bear,HAR-RV,0.004887145367879711,0.0028024285099092295,53
bear,Residual Hybrid (ARIMA+DL-resid),0.004943120901965335,0.0029286254999150016,53
bear,GRU-only,0.005432937736493034,0.0037194530486517824,53
bear,LSTM-only,0.006389156252992808,0.004439974989128072,53
bear,Hybrid (ARIMA+DL),0.010853248745566408,0.007346761042098338,53
bear,GJR-GARCH,0.014852717525378555,0.013133314721067197,53
bear,GARCH,0.014914593621526199,0.013179407237177662,53
bear,Naive_Persistence,0.01547311181322233,0.014151696345732143,53
bear,SVR (RBF),0.018550378105820393,0.00951913013679711,53
bear,CNN-BiLSTM-Attn,0.019885813346294634,0.012729139197525352,53
bear,CNN-only,0.037305259548692946,0.021278929383285194,53
bull,HAR-RV,0.002788262638639576,0.0016973506901817221,69
bull,Residual Hybrid (ARIMA+DL-resid),0.0028375332550309986,0.0017892667376921377,69
bull,ARIMA,0.0032532080318995868,0.0019564482894679565,69
bull,GRU-only,0.0047664235260394495,0.003799695585097201,69
bull,LSTM-only,0.005512818995359874,0.004168008443000292,69
bull,SVR (RBF),0.00889485777700419,0.006326783839765149,69
bull,Hybrid (ARIMA+DL),0.010584610745077725,0.006371460784391753,69
bull,Naive_Persistence,0.010830631502582759,0.009824535770866026,69
bull,GARCH,0.016936361794084205,0.015509623622119417,69
bull,GJR-GARCH,0.016940580754327396,0.015503399607409464,69
bull,CNN-BiLSTM-Attn,0.02149107307236291,0.013060391036705758,69
bull,CNN-only,0.03876259495434933,0.0188578037704392,69
calm,ARIMA,0.002371164481542701,0.0013151180391040881,119
calm,Residual Hybrid (ARIMA+DL-resid),0.0027266774999767894,0.0018588871638062418,119
calm,HAR-RV,0.002733844924457145,0.0018574651517498982,119
calm,GRU-only,0.00396095042890004,0.002893703770514795,119
calm,LSTM-only,0.004254802345651084,0.0030613199245583074,119
calm,Naive_Persistence,0.005233622354931399,0.004555387943343317,119
calm,SVR (RBF),0.008117292751755127,0.0054691910859208616,119
calm,Hybrid (ARIMA+DL),0.008913300651568283,0.0072970309529787865,119
calm,CNN-BiLSTM-Attn,0.017239074128310616,0.014192594027711674,119
calm,GJR-GARCH,0.019342657082541456,0.019034265570991873,119
calm,GARCH,0.019350923895074607,0.01904557901077962,119
calm,CNN-only,0.019796869674535367,0.01369466667066814,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.0054587278221960205,0.003211732506527225,119
crisis,HAR-RV,0.005545668999161936,0.0032336216766074353,119
crisis,ARIMA,0.0056654800416530635,0.003136309501822611,119
crisis,GRU-only,0.007269544747479665,0.005480679142781557,119
crisis,Hybrid (ARIMA+DL),0.007770612330867984,0.006248147780827085,119
crisis,LSTM-only,0.0077733537287793,0.005678483832206715,119
crisis,CNN-BiLSTM-Attn,0.013277937988721508,0.010879675136302846,119
crisis,SVR (RBF),0.0193513582678807,0.013384224445064522,119
crisis,GARCH,0.02312825276127092,0.016646297035287277,119
crisis,GJR-GARCH,0.024354762865206703,0.017291468286654968,119
crisis,CNN-only,0.03850346231883199,0.02699914352021324,119
crisis,Naive_Persistence,0.040167954622367705,0.037651429767411634,119
