Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
SVR (RBF),0.10975464598341274,0.33675818645308847,-0.007925221490269238,0.02228440713079367
CNN-BiLSTM-Attn,-0.2649811303036119,-0.39295264419809267,-0.04122070791395846,0.027609487995505333
CNN-only,-0.283496181558426,-0.47756829959258085,-0.012930078525141133,0.044581908732652664
GJR-GARCH,-0.5466942882002144,-0.7934861055715119,-0.04873252030882826,0.03274375577927153
GARCH,-0.6506855744860811,-0.9312061487491065,-0.052721300609458344,0.03648099704868451
Hybrid (ARIMA+DL),-0.7618818034699567,-1.0541333001858477,-0.0567559181122369,0.03337307749238409
LSTM-only,-0.9674693109325306,-1.3178440403900002,-0.06655970052756445,0.05951514467597008
HAR-RV,-1.1023032401901691,-1.4998758609595122,-0.07109682472049443,0.05772518526964701
GRU-only,-1.2534279602028242,-1.679669668134274,-0.07747540232953325,0.06251328438520432
ARIMA,-1.4973849820191294,-1.9293186473091104,-0.08730420975859768,0.06177479034108091
Residual Hybrid (ARIMA+DL-resid),-1.606546468752267,-2.0281226758878867,-0.09360163157692311,0.06039619122065399
Naive_Persistence,-3.518473927399457,-4.44266401131528,-0.027812500601675505,0.05491016143509807
