Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
CNN-BiLSTM-Attn,-0.33479326582725727,-0.4957418677504384,-0.057403198134378074,0.014269547536969185
CNN-only,-0.3524534686919183,-0.5258834010900532,-0.05726898197302976,0.019352221861481667
SVR (RBF),-0.4126216625266382,-0.6284720387954261,-0.06829482734091778,0.08645511102553195
LSTM-only,-0.7006962124491743,-0.977963199425913,-0.07982955982729861,0.0364711619913578
GJR-GARCH,-0.7603200239692663,-1.0645418757523841,-0.08345957530353705,0.042852727116195775
GRU-only,-0.7625341156263297,-1.0646760576521441,-0.08318290026670119,0.048239193856716156
GARCH,-0.8039618927552231,-1.1108226148600409,-0.08583830577552366,0.042852006688657206
Hybrid (ARIMA+DL),-0.9108702084780628,-1.2426316299562417,-0.09091782025010892,0.038478090647559623
HAR-RV,-1.2133771306377596,-1.6358367362075106,-0.1075481765136586,0.07675590993147235
ARIMA,-1.5826639389545336,-2.0209228476627468,-0.12876585821216951,0.07745342321083458
Residual Hybrid (ARIMA+DL-resid),-1.5983798597543026,-2.030750475915975,-0.1319634590558942,0.08150483029162713
Naive_Persistence,-2.843366032515326,-3.609506038989585,-0.038071002034980796,0.06239274634757867
