Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
SVR (RBF),0.6147944024144256,1.2766135636665183,-0.021146906871913507,0.022223901233688708
Residual Hybrid (ARIMA+DL-resid),0.45632431372199106,1.5081062574881758,-0.008882830020522056,0.011111931386904104
CNN-BiLSTM-Attn,-0.38193286568331913,-0.5813177037087831,-0.08239924431688189,0.0301801860332489
GJR-GARCH,-0.6474804756457241,-0.9740819540095226,-0.11652007348498,0.14267550511207677
GARCH,-0.7100844187991456,-0.9980598141184944,-0.1216813059419985,0.03222891787456655
Hybrid (ARIMA+DL),-0.812642549130625,-1.1671365309509776,-0.11534609280704226,0.0482889859941349
CNN-only,-1.1109164088624994,-1.3667993443947197,-0.017563957830798158,0.033332958817481995
HAR-RV,-1.1572826127243587,-1.5608568719727551,-0.1450964904178692,0.06829040024810781
GRU-only,-1.3005383692119419,-1.6768812665453166,-0.16380195879400852,0.05134177580475807
ARIMA,-1.3635902823251937,-1.7952084210608212,-0.156829513317383,0.07498528191440702
LSTM-only,-1.3743424240989799,-1.7294283146768523,-0.16863654402521555,0.04668471962213516
Naive_Persistence,-1.5860041834270977,-2.0758670202281464,-0.08211521423999173,0.05874508945860392
