Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
GJR-GARCH,-0.09103472073182196,-0.1456790848293477,-0.07165090307289507,0.06570934411460214
GARCH,-0.10909385405203738,-0.17429474557265845,-0.07224894374468117,0.06556450669073847
GRU-only,-0.37573420356770937,-0.5680290948353387,-0.07406409737153839,0.02655913308262825
LSTM-only,-0.6190208685009585,-0.8889957844411779,-0.09321737565610537,0.018092846497893333
CNN-only,-0.7715555404825422,-1.089584939636087,-0.1156267462323818,0.03022005222737789
SVR (RBF),-0.7957020847232584,-1.1646419913948467,-0.09387190372610381,0.0842961716324354
CNN-BiLSTM-Attn,-0.8405560086701959,-1.171554744800829,-0.11461675310499976,0.02311151847243309
Hybrid (ARIMA+DL),-1.3900635301640312,-1.791105856073493,-0.1475362422252597,0.0443612112438339
HAR-RV,-1.5817308787152,-2.0268068917853785,-0.15856748698468323,0.0720968587275115
Residual Hybrid (ARIMA+DL-resid),-1.7786944847057773,-2.229934571898457,-0.16891797518790086,0.07440917262163767
ARIMA,-1.8418006900362247,-2.295326348647195,-0.17053582114458937,0.07534600701312363
Naive_Persistence,-3.0781901632792055,-3.7958515971564406,-0.04816109707632494,0.06432746967802663
