Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
CNN-only,-0.0977782566636502,-0.1590478310265931,-0.007209494725191739,0.0111423060297966
GJR-GARCH,-0.42885704281015774,-0.6520958268966079,-0.11124123551569798,0.08708714766379538
CNN-BiLSTM-Attn,-0.7804705704396775,-1.0483355054648062,-0.1429990167107483,0.02685953862965107
SVR (RBF),-0.8271118785363156,-1.0892876759982486,-0.14508573723101723,0.06681766937941214
GARCH,-1.0025334269791848,-1.3521196619292855,-0.14931421865321912,0.031143562252044038
HAR-RV,-1.2110332776586725,-1.645454342163173,-0.1627272699657953,0.07790895710221497
Hybrid (ARIMA+DL),-1.2778360195688392,-1.6672468423480478,-0.17277948601205587,0.048986205970359804
GRU-only,-1.4106369284901887,-1.4106447286431203,-0.033000143612085725,0.02229120209813118
LSTM-only,-1.4339096171718804,-1.6878512355023492,-0.15912520011251602,0.03441478684544563
ARIMA,-1.6814309713807651,-2.1630823797519314,-0.18817898411171907,0.07937416730029359
Residual Hybrid (ARIMA+DL-resid),-1.7635272247517009,-1.7637649773603323,-0.0329124114044365,0.011142865429574284
Naive_Persistence,-1.8716047406516683,-2.392777662957388,-0.09626389919517686,0.06058040847796405
