Model,RMSE,MAE,DoC,R2
HAR-RV,0.009859432226824488,0.007390857615283918,0.4972067039106145,0.16194419677083172
Hybrid (ARIMA+DL),0.010100943856710438,0.00784724352416785,0.5139664804469274,0.1203841627558655
GJR-GARCH,0.010710712153300916,0.009163727660479834,0.505586592178771,0.010978297498207223
GARCH,0.010754996308379897,0.009231397959797369,0.49441340782122906,0.0027830378962443447
ARIMA,0.011029640299205544,0.0076503416745332085,0.49162011173184356,-0.04879793705700086
Residual Hybrid (ARIMA+DL-resid),0.011342388153660291,0.0081117202160495,0.5,-0.10911897803481074
CNN-BiLSTM-Attn,0.012484313035974854,0.01086999340023527,0.4888268156424581,-0.343687958546983
GRU-only,0.01286858056893358,0.010763207960207029,0.49441340782122906,-0.4276784943428906
CNN-only,0.01329161035135331,0.00984997022644806,0.5446927374301676,-0.5230856566495621
LSTM-only,0.014108898902155633,0.011349061080281808,0.4748603351955307,-0.7161504903273108
SVR (RBF),0.01418654143133656,0.01155847081390571,0.5363128491620112,-0.735090720672763
Naive_Persistence,0.022343517724017648,0.01996044974664773,0.4888268156424581,-149.88678233987278
