Experiment,Ticker,NumFeatures,RMSE,MAE
market_sentiment,BTC-USD,8,0.007856760201889136,0.0064799441455233135
full_multimodal,BTC-USD,10,0.007979335678320444,0.006443724884809279
market_onchain,BTC-USD,8,0.008619622908237734,0.006905475591595792
market_only,BTC-USD,6,0.008803774818521067,0.007408715731243335
sentiment_only,BTC-USD,2,0.009796349685071003,0.008459090891013578
market_macro,BTC-USD,7,0.010470412219212617,0.00869456137442938
onchain_only,BTC-USD,2,0.010479033260685213,0.008152299047429621
