Model,RMSE,MAE,DoC,R2
HAR-RV,0.013708058895777244,0.011021983078711689,0.5027932960893855,0.5425856578532828
Hybrid (ARIMA+DL),0.014366698239946839,0.012520247391097989,0.5363128491620112,0.4975743603315035
ARIMA,0.014527663913248709,0.010431795518177217,0.5307262569832403,0.48625285340262037
LSTM-only,0.018205052353443264,0.013349810552452638,0.5335195530726257,0.1932449014423242
Residual Hybrid (ARIMA+DL-resid),0.019335864309540155,0.014747049806569448,0.5279329608938548,0.08990855111858653
CNN-BiLSTM-Attn,0.020147969188917567,0.01758201047215367,0.5251396648044693,0.011855607541952362
GRU-only,0.02194934290246454,0.0167315167484654,0.5111731843575419,-0.17273773863214537
Naive_Persistence,0.025087566007216743,0.017923289219046998,0.5363128491620112,-50.73961942294664
GARCH,0.0327146310750306,0.03024675433687096,0.5251396648044693,-1.6052050331592786
GJR-GARCH,0.033023436373409924,0.030550002217538116,0.5279329608938548,-1.6546201162785552
SVR (RBF),0.046937468806796695,0.02725687360446335,0.6061452513966481,-4.362868966996598
CNN-only,0.04726519533479476,0.03206923085573588,0.5167597765363129,-4.438019598880375
