Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
CNN-BiLSTM-Attn,-0.03864277498564415,-0.06235256277971489,-0.04799522526092472,0.017403991892933846
LSTM-only,-0.10586410553889769,-0.16841912602609352,-0.04461454184395649,0.018695730715990067
CNN-only,-0.17836904695951677,-0.2908783468796209,-0.052149203043911546,0.01458052359521389
GRU-only,-0.18079375180647905,-0.28018521639456195,-0.050971894487717107,0.029575735330581665
SVR (RBF),-0.32399711560141875,-0.5191520201661499,-0.0657901711636461,0.08293845506231652
GJR-GARCH,-0.3904687984755766,-0.6156327595722366,-0.055545102313254595,0.05172979131423406
GARCH,-0.4369670718150001,-0.677466871637301,-0.05883230434982274,0.05052086012560293
Hybrid (ARIMA+DL),-0.5182140296548855,-0.7651547108561942,-0.06591362658684703,0.031310643647084704
HAR-RV,-1.216492649541858,-1.6429799366124302,-0.10542924711108097,0.06353106735440635
Residual Hybrid (ARIMA+DL-resid),-1.2642710727033692,-1.6990504562857263,-0.10817073541366323,0.06678507248948584
ARIMA,-1.281663812665162,-1.7187624127842616,-0.10912556708667275,0.06741852932716859
Naive_Persistence,-2.6683395504310603,-3.5175384012099036,-0.03549030563013668,0.06180981539269369
