Model,RMSE,MAE,DoC,R2
HAR-RV,0.004552193273023742,0.0028860944327309705,0.532033426183844,0.9473271967739025
ARIMA,0.004625276011992294,0.0028159682695935557,0.5543175487465181,0.9456223600120366
Residual Hybrid (ARIMA+DL-resid),0.0051950287502275155,0.00336765435031571,0.5598885793871866,0.9314004988854537
GARCH,0.009990969621404609,0.008039541852447334,0.5431754874651811,0.7462767162423902
Hybrid (ARIMA+DL),0.013273302558932061,0.008581569917033757,0.5571030640668524,0.552180464940406
CNN-only,0.02096415892320932,0.017482322788967875,0.532033426183844,-0.11712027287788063
Naive_Persistence,0.02134546580106906,0.018154595774031664,0.5431754874651811,-4.62187441576563
CNN-BiLSTM-Attn,0.025231114525346356,0.016331417348128773,0.5236768802228412,-0.6181467912615584
GJR-GARCH,0.026333348791932294,0.018616847332017232,0.5264623955431755,-0.7626140582560181
LSTM-only,0.03188618803348709,0.020961740585424802,0.532033426183844,-1.5843435862376798
GRU-only,0.042204941896411954,0.02511623990052065,0.5013927576601671,-3.5276376224354715
SVR (RBF),0.09426354610874081,0.05863362451082619,0.5431754874651811,-21.58564999039291
