Regime,Model,RMSE,MAE,N
bear,ARIMA,0.0041696573347693435,0.0022780536364694036,55
bear,HAR-RV,0.004282095822398529,0.0025846349780080844,55
bear,Residual Hybrid (ARIMA+DL-resid),0.0043708798047102995,0.002640837891685602,55
bear,CNN-only,0.006157971231627371,0.00495309217575983,55
bear,LSTM-only,0.006197131824380632,0.004975221758035851,55
bear,GARCH,0.006756222216374976,0.006100123603462643,55
bear,GJR-GARCH,0.007144489397946179,0.006429196092370711,55
bear,GRU-only,0.00739474380239088,0.005974739199023506,55
bear,Hybrid (ARIMA+DL),0.007822450029853566,0.006874429274758306,55
bear,SVR (RBF),0.011153328027938426,0.00870651474352386,55
bear,CNN-BiLSTM-Attn,0.013329285473674382,0.011536446843819381,55
bear,Naive_Persistence,0.02169813465515609,0.021272756770735392,55
bull,HAR-RV,0.002278171396654502,0.0014407954066855931,67
bull,Residual Hybrid (ARIMA+DL-resid),0.0024242414658166007,0.001482791529143503,67
bull,ARIMA,0.0026434846031443285,0.001713438523967014,67
bull,CNN-only,0.004351157453864023,0.0036292456715203924,67
bull,LSTM-only,0.004580992072517474,0.003666354412980527,67
bull,Hybrid (ARIMA+DL),0.00459116676878049,0.0038748184849822205,67
bull,GARCH,0.004908380454963942,0.004113213442482796,67
bull,GJR-GARCH,0.005382202068663449,0.004493336522130177,67
bull,GRU-only,0.005769723107071487,0.004718346520034237,67
bull,SVR (RBF),0.009796492901218819,0.00786355700835536,67
bull,CNN-BiLSTM-Attn,0.01029612517602149,0.009062915044435363,67
bull,Naive_Persistence,0.016835102508990986,0.01658138741223687,67
calm,ARIMA,0.0037564495845254487,0.001591593646973781,119
calm,HAR-RV,0.0038097792732402205,0.0017925720874741903,119
calm,Residual Hybrid (ARIMA+DL-resid),0.003825212389666646,0.001665537931369489,119
calm,Hybrid (ARIMA+DL),0.008035746017475916,0.007374754847590805,119
calm,GJR-GARCH,0.008837221664486666,0.008291755352698436,119
calm,GARCH,0.008864406350176653,0.008226178493757428,119
calm,LSTM-only,0.009350270262349848,0.008695617732550617,119
calm,SVR (RBF),0.009578127446219825,0.007848213940268396,119
calm,CNN-only,0.009784175781943528,0.009144641873385425,119
calm,GRU-only,0.01010216118055437,0.009383114297019032,119
calm,Naive_Persistence,0.01250431453911022,0.011774853097839393,119
calm,CNN-BiLSTM-Attn,0.014920489851903479,0.01424854454552897,119
crisis,HAR-RV,0.003991396782472227,0.002037060093206537,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.0040596112635828685,0.002162011778688689,119
crisis,ARIMA,0.004107597868607354,0.0021060891977168856,119
crisis,Hybrid (ARIMA+DL),0.005428035755410815,0.004259304584785402,119
crisis,GARCH,0.006109633659217212,0.004800294837545251,119
crisis,GJR-GARCH,0.006471614422778754,0.005055403231938594,119
crisis,CNN-BiLSTM-Attn,0.009682955239779276,0.00781502202956711,119
crisis,GRU-only,0.011402629468600782,0.009405123850148717,119
crisis,SVR (RBF),0.01152253217365879,0.009140111609551213,119
crisis,LSTM-only,0.011600050107099689,0.009596382300083953,119
crisis,CNN-only,0.012671149137862296,0.010799333186430223,119
crisis,Naive_Persistence,0.030544182088862035,0.02974486241831493,119
