Model,Scenario,Clean_RMSE,Perturbed_RMSE,Delta_RMSE,Clean_DoC,Perturbed_DoC,Delta_DoC
CNN-BiLSTM-Attn,missing_0.10,0.011608792555066654,0.05802812870471242,0.04641933614964577,0.5403899721448467,0.5598885793871866,0.01949860724233987
CNN-BiLSTM-Attn,missing_0.20,0.011608792555066654,0.08887725822162246,0.0772684656665558,0.5403899721448467,0.47075208913649025,-0.0696378830083565
CNN-BiLSTM-Attn,noise_0.10,0.011608792555066654,0.018604890854576527,0.006996098299509873,0.5403899721448467,0.520891364902507,-0.01949860724233976
CNN-BiLSTM-Attn,noise_0.20,0.011608792555066654,0.04195740809545199,0.030348615540385336,0.5403899721448467,0.45125348189415043,-0.08913649025069631
