Regime,Model,RMSE,MAE,N
bear,Hybrid (ARIMA+DL),0.0033160094969939785,0.0026795662902896105,66
bear,ARIMA,0.003441280364239015,0.002647276320717716,66
bear,HAR-RV,0.003444549841681921,0.0027814649567500377,66
bear,GRU-only,0.004272606253107888,0.003629304046506533,66
bear,LSTM-only,0.005287549944175245,0.004916319711331371,66
bear,CNN-only,0.005533047102793624,0.0039866845967726355,66
bear,CNN-BiLSTM-Attn,0.006233142304112028,0.0054021808478641985,66
bear,GARCH,0.006480464878363845,0.006045354622886711,66
bear,GJR-GARCH,0.00680990786700044,0.006203733403787647,66
bear,Residual Hybrid (ARIMA+DL-resid),0.010611946299659546,0.007855633608050614,66
bear,Naive_Persistence,0.018097616397240196,0.017810135441911783,66
bear,SVR (RBF),0.08058608364693495,0.06950827012035271,66
bull,HAR-RV,0.002901758745728076,0.002232305209873537,56
bull,ARIMA,0.003202224321896252,0.0024696280221767515,56
bull,Hybrid (ARIMA+DL),0.003624686875553643,0.002830180033414491,56
bull,GRU-only,0.003856099517371631,0.003404010767574311,56
bull,CNN-only,0.0051324836997045705,0.0036742557627061543,56
bull,GARCH,0.005737788265840013,0.005261253254521442,56
bull,LSTM-only,0.005883042658250578,0.005468866911346162,56
bull,GJR-GARCH,0.005920485038898684,0.005410162183475898,56
bull,CNN-BiLSTM-Attn,0.0062660962805171985,0.005291278304594445,56
bull,Residual Hybrid (ARIMA+DL-resid),0.012439344580711137,0.009838625079472403,56
bull,Naive_Persistence,0.017167036165677958,0.016797659174240472,56
bull,SVR (RBF),0.08906518025502294,0.0797609903326397,56
calm,Hybrid (ARIMA+DL),0.0032472811292549525,0.002590375405693982,119
calm,ARIMA,0.003368194129995571,0.0022036102293857746,119
calm,HAR-RV,0.003791334678378284,0.0028479129008685245,119
calm,LSTM-only,0.00510121896541314,0.00390946785761688,119
calm,CNN-BiLSTM-Attn,0.005296132994282056,0.00414415511062071,119
calm,GRU-only,0.005340217394232057,0.004110122612896247,119
calm,CNN-only,0.00683926178824036,0.0055934962734998876,119
calm,GARCH,0.0092970561361463,0.00897690304810861,119
calm,GJR-GARCH,0.009470992292064632,0.00912108289814272,119
calm,Naive_Persistence,0.011539402701833769,0.010897446831316243,119
calm,Residual Hybrid (ARIMA+DL-resid),0.012154338148577755,0.00919909906193597,119
calm,SVR (RBF),0.06997879161714235,0.06160445721416411,119
crisis,GARCH,0.00432276963236438,0.0036148753497841878,119
crisis,GJR-GARCH,0.004835264781275819,0.003979435300150837,119
crisis,HAR-RV,0.0049950067872660845,0.0036779470963161044,119
crisis,ARIMA,0.005504969456229352,0.004036167764910097,119
crisis,Hybrid (ARIMA+DL),0.007650926530711212,0.006583206623337084,119
crisis,CNN-only,0.008576729686009145,0.006856533238165482,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.009102292180620766,0.006734708878213406,119
crisis,GRU-only,0.010383148703301894,0.009480570323478711,119
crisis,CNN-BiLSTM-Attn,0.012558221460966267,0.011358363074378743,119
crisis,LSTM-only,0.013957507291427723,0.012774064978282427,119
crisis,Naive_Persistence,0.02507364328514087,0.02408588080452556,119
crisis,SVR (RBF),0.042154358857944614,0.03307914814837826,119
