Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
GJR-GARCH,-0.30416022399476633,-0.4604632797076703,-0.0964183216377663,0.041752619325310714
GARCH,-0.30713642384434703,-0.4646661115241272,-0.09654931734455648,0.04163780313030179
GRU-only,-0.6181483643688389,-0.8881190520160208,-0.0950082334202636,0.0336117297410965
CNN-only,-0.7836402835529354,-1.116515449354347,-0.11566188052848886,0.027751842513680458
CNN-BiLSTM-Attn,-0.7947145287716595,-1.1153332418490556,-0.11867110758410511,0.034632500261068344
LSTM-only,-0.8416922708210164,-1.1393735768021493,-0.12696611009995004,0.042183130979537964
SVR (RBF),-1.0386583448287425,-1.4920789236925267,-0.11923357609260965,0.10621097329612707
HAR-RV,-1.3704725777830717,-1.7813816540798182,-0.160733980787077,0.08039543757251123
Hybrid (ARIMA+DL),-1.4476247057558325,-1.8425060261338606,-0.15871235377587925,0.05001926108649945
ARIMA,-2.092114543612321,-2.53109417221428,-0.19545060248022514,0.08201080922324577
Residual Hybrid (ARIMA+DL-resid),-2.266271629202633,-2.702588706986139,-0.2075178919796,0.09279165865390623
Naive_Persistence,-3.288467635275552,-3.9652968981401977,-0.052192339420311915,0.06492464016374798
