Model,RMSE,MAE,DoC,R2
Residual Hybrid (ARIMA+DL-resid),0.008295800026271961,0.005627793190204067,0.5292479108635098,0.8320633966850257
HAR-RV,0.008389548412703566,0.005957347272938112,0.520891364902507,0.8282463462572448
ARIMA,0.008563440378977227,0.005553259868887161,0.5264623955431755,0.821052608386103
Hybrid (ARIMA+DL),0.010796720701722894,0.008361566525521799,0.5292479108635098,0.7155456698544681
LSTM-only,0.01217509391109014,0.008671915304176742,0.5766016713091922,0.6382792229365162
GRU-only,0.012211443968771035,0.008598827984224013,0.5487465181058496,0.6361160857243859
CNN-BiLSTM-Attn,0.01743560970770612,0.013589335681431643,0.5626740947075209,0.258172219068313
CNN-only,0.019753896043175612,0.01494579731101528,0.5515320334261838,0.04778648018092191
SVR (RBF),0.021299542392720597,0.013796458362652173,0.5487465181058496,-0.10705541759207104
GARCH,0.024156558882120198,0.021826542208091056,0.5153203342618384,-0.42396381446412046
GJR-GARCH,0.024502805085840244,0.0220532597608775,0.520891364902507,-0.4650769181912875
Naive_Persistence,0.024660153116993825,0.017917871063865443,0.5431754874651811,-49.11510821554589
