Regime,Model,RMSE,MAE,N
bear,HAR-RV,0.010531630005432278,0.007406805714704179,53
bear,ARIMA,0.010801420835864266,0.006929053443292032,53
bear,Hybrid (ARIMA+DL),0.011549086384030021,0.00915083919615726,53
bear,LSTM-only,0.013525252044014733,0.00796739473472589,53
bear,CNN-BiLSTM-Attn,0.017436245293006344,0.012547770697079906,53
bear,Naive_Persistence,0.020526834821164734,0.017692988268528633,53
bear,GARCH,0.022230908842929383,0.021418635430848806,53
bear,GJR-GARCH,0.022286625907159532,0.02146620027784962,53
bear,Residual Hybrid (ARIMA+DL-resid),0.02352066768475915,0.016604012817793435,53
bear,GRU-only,0.029267205464774983,0.018071779623577883,53
bear,CNN-only,0.04685450508610753,0.030697600588937078,53
bear,SVR (RBF),0.07811547713003095,0.03746817475967515,53
bull,HAR-RV,0.004608048885097145,0.003464416485112653,69
bull,ARIMA,0.005913978293432334,0.004484962295372044,69
bull,LSTM-only,0.006116740606625326,0.004990903850602431,69
bull,Hybrid (ARIMA+DL),0.008422612617582625,0.00623891834450283,69
bull,Naive_Persistence,0.00997638648480621,0.008727335676301406,69
bull,CNN-BiLSTM-Attn,0.016861839053462446,0.012022250750804353,69
bull,GARCH,0.02316009230914927,0.022664138856040805,69
bull,GJR-GARCH,0.02325665577231463,0.02276437045610432,69
bull,Residual Hybrid (ARIMA+DL-resid),0.024829045325525885,0.013991864530533814,69
bull,GRU-only,0.02488697198007055,0.015568704611480338,69
bull,SVR (RBF),0.037484088092210974,0.02125115683508537,69
bull,CNN-only,0.04751802498352728,0.030098092975207366,69
calm,ARIMA,0.004239035684745245,0.002922286759190157,119
calm,HAR-RV,0.005919431446447934,0.0048645072486398705,119
calm,Naive_Persistence,0.006533993389792428,0.005505825100707123,119
calm,Hybrid (ARIMA+DL),0.009646817157816477,0.008019810821093508,119
calm,LSTM-only,0.010281295529233424,0.00894853804568995,119
calm,Residual Hybrid (ARIMA+DL-resid),0.014180019206750237,0.00940873073973469,119
calm,CNN-BiLSTM-Attn,0.01741054118583371,0.014530423371498435,119
calm,GRU-only,0.02013284821566124,0.016493592975036553,119
calm,SVR (RBF),0.027284841705524317,0.01947059500294884,119
calm,GARCH,0.02906129577083352,0.028895921792779552,119
calm,GJR-GARCH,0.029173333218108208,0.029006441884359004,119
calm,CNN-only,0.04183511970213495,0.031696003181110016,119
crisis,HAR-RV,0.010778537042709696,0.007850111053088077,119
crisis,Hybrid (ARIMA+DL),0.011144883706707095,0.009404654139928395,119
crisis,ARIMA,0.011473210050761315,0.008190917626727735,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.012293417609753795,0.010168271178906247,119
crisis,CNN-BiLSTM-Attn,0.015204419700460473,0.01305320815427041,119
crisis,GARCH,0.019739344407178217,0.014453142248631754,119
crisis,GJR-GARCH,0.020745682660978794,0.0149492067451061,119
crisis,LSTM-only,0.021344679052293685,0.018770534911506924,119
crisis,GRU-only,0.029943539700880917,0.022390726079674003,119
crisis,CNN-only,0.03382799733489768,0.0237172089599119,119
crisis,Naive_Persistence,0.03939082426228113,0.035759040807652076,119
crisis,SVR (RBF),0.09579357269863971,0.05437631401821142,119
