Regime,Model,RMSE,MAE,N
bear,HAR-RV,0.008544506731946528,0.006806720435672851,54
bear,Hybrid (ARIMA+DL),0.009412652902733291,0.007403707475580419,54
bear,GARCH,0.009751447279622816,0.008714840518364055,54
bear,ARIMA,0.009755678744770877,0.00688585571129187,54
bear,GJR-GARCH,0.00982406712013383,0.00876220975973609,54
bear,GRU-only,0.011197594954263172,0.008911360723782976,54
bear,Residual Hybrid (ARIMA+DL-resid),0.011359502143376497,0.009281988799389525,54
bear,CNN-BiLSTM-Attn,0.012259352188711865,0.009823452628854791,54
bear,SVR (RBF),0.014989931976815226,0.012412558122695158,54
bear,LSTM-only,0.015468825962717113,0.011318208662954151,54
bear,Naive_Persistence,0.02410042660819925,0.02249418010052917,54
bear,CNN-only,0.02915351854348736,0.01878865711587227,54
bull,Hybrid (ARIMA+DL),0.0070392897247075386,0.004748620224548021,67
bull,HAR-RV,0.007082609460953639,0.005451034805683566,67
bull,GRU-only,0.008050716340669707,0.005663121702121185,67
bull,GARCH,0.008141411992610639,0.00708909342267414,67
bull,CNN-BiLSTM-Attn,0.008250099311542315,0.006355558587125785,67
bull,GJR-GARCH,0.008379594351954376,0.007290772584010394,67
bull,ARIMA,0.009474135706823303,0.006975890381627302,67
bull,Residual Hybrid (ARIMA+DL-resid),0.009548240978524511,0.007342330161801258,67
bull,LSTM-only,0.010297532691052947,0.00638946994252055,67
bull,SVR (RBF),0.013968844853082545,0.011049653422493887,67
bull,CNN-only,0.017701487521856452,0.009775151786800601,67
bull,Naive_Persistence,0.020745247403189594,0.01826868506584038,67
calm,GRU-only,0.009604675108581718,0.00816200602793886,119
calm,Hybrid (ARIMA+DL),0.010233001795739487,0.007871074369371015,119
calm,Residual Hybrid (ARIMA+DL-resid),0.010253584929864888,0.006981477465480929,119
calm,LSTM-only,0.010270189952440572,0.008935397513944262,119
calm,ARIMA,0.010905684686575667,0.006873055028244404,119
calm,HAR-RV,0.011256768611320161,0.00879753470028047,119
calm,CNN-BiLSTM-Attn,0.012281642132947251,0.011432904679279066,119
calm,GARCH,0.013722183954857893,0.01276813678619839,119
calm,GJR-GARCH,0.013803887432088381,0.012999745818984776,119
calm,CNN-only,0.014180935667286376,0.013090443014392031,119
calm,SVR (RBF),0.016209561653433235,0.014144645029513472,119
calm,Naive_Persistence,0.01802581474433787,0.015571235238914577,119
crisis,GJR-GARCH,0.008497590110725189,0.006564431827719552,119
crisis,GARCH,0.008954683448729196,0.007135234812595129,119
crisis,HAR-RV,0.010255288456747284,0.007341420328121153,119
crisis,Hybrid (ARIMA+DL),0.011762075171699807,0.009439841834078498,119
crisis,GRU-only,0.011915559216124978,0.009592622451322853,119
crisis,ARIMA,0.01242356374103523,0.009154270998466784,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.01322929467022967,0.009976850082473747,119
crisis,LSTM-only,0.013909120326335773,0.01130958693408613,119
crisis,CNN-BiLSTM-Attn,0.014205966294494438,0.012435460163337604,119
crisis,SVR (RBF),0.0145945896108244,0.011461637398992648,119
crisis,CNN-only,0.021882785272357475,0.015032072133245705,119
crisis,Naive_Persistence,0.02598619140225312,0.024152410426687566,119
