Model,RMSE,MAE,DoC,R2
HAR-RV,0.002455008217491994,0.0014606645804586802,0.4401114206128134,0.9128650049365467
ARIMA,0.0024799689454493897,0.001400598738715756,0.4623955431754875,0.911084147701959
Residual Hybrid (ARIMA+DL-resid),0.002684810121057871,0.0015482686108140788,0.4596100278551532,0.8957889280310344
Hybrid (ARIMA+DL),0.004145997921752408,0.003323595060262262,0.4958217270194986,0.751489426984446
GARCH,0.006035183123232433,0.005308186387066678,0.5153203342618384,0.47341605333114434
GJR-GARCH,0.006439376622659208,0.005630522330648011,0.5264623955431755,0.4005204621268359
GRU-only,0.007558880445926832,0.006230113711650871,0.520891364902507,0.17395888640825596
CNN-BiLSTM-Attn,0.007569560583320974,0.006062184360894649,0.5598885793871866,0.17162296768863738
LSTM-only,0.008717928332428909,0.0072229807558098985,0.4763231197771588,-0.09878646126184276
CNN-only,0.011741148375332959,0.009344372325381803,0.5069637883008357,-0.9930025911830711
Naive_Persistence,0.01887816568278373,0.017452951072517243,0.46518105849582175,-254.26241853337822
SVR (RBF),0.0784480027026952,0.0635901409699407,0.5431754874651811,-87.97141391939662
