Model,RMSE,MAE,DoC,R2
HAR-RV,0.006453149418264499,0.004306408555442374,0.45403899721448465,0.640046589904016
ARIMA,0.006719723610275575,0.004313308854229578,0.467966573816156,0.6096936013913139
Residual Hybrid (ARIMA+DL-resid),0.006735092525493379,0.004358745334621942,0.467966573816156,0.6079061928353999
Hybrid (ARIMA+DL),0.007370785136268842,0.005953168051087757,0.48746518105849584,0.5303975510773213
GARCH,0.008025846700384611,0.006756390481484356,0.5097493036211699,0.44321878992823827
GJR-GARCH,0.008135345713872668,0.006912500854808036,0.5041782729805014,0.4279224876355513
GRU-only,0.009604740870951398,0.007652834488805607,0.5069637883008357,0.2026038121620959
LSTM-only,0.009693452362958174,0.008035774566425664,0.5069637883008357,0.18780593613724295
SVR (RBF),0.010929501522572518,0.008725527703237028,0.5403899721448467,-0.032532095096491576
CNN-BiLSTM-Attn,0.011496491012908039,0.010109095540909638,0.5153203342618384,-0.14244015264295506
CNN-only,0.01688734716227155,0.013607368053930964,0.5041782729805014,-1.4650498894404786
Naive_Persistence,0.02212164599633858,0.02004395040222729,0.4568245125348189,-147.29165115418505
