Model,Sharpe,Sortino,MaxDrawdown,AvgTurnover
CNN-BiLSTM-Attn,-0.030730587887970208,-0.047661913055125675,-0.037138133595522954,0.009881643578410149
GRU-only,-0.15272720701488993,-0.24224683685513065,-0.03650046845753458,0.0369906947016716
LSTM-only,-0.2341654887282322,-0.3597612379253631,-0.037359410294215106,0.02188367024064064
GJR-GARCH,-0.3036228060415414,-0.4760831782790885,-0.036344173127102634,0.04078580589370242
GARCH,-0.36410490398654544,-0.5635657867507907,-0.04024273773003997,0.0435937840050907
CNN-only,-0.3771461136809229,-0.5812623985138857,-0.036830302258954555,0.05760115385055542
Hybrid (ARIMA+DL),-0.4946242753482262,-0.7310646945055076,-0.04538211050400894,0.029606406237586962
SVR (RBF),-0.5171351570803806,-0.7139001329787361,-0.05254134900677105,0.02730866002986388
HAR-RV,-0.8654057399775763,-1.2423276131454772,-0.06071517735768561,0.05262754358270383
Residual Hybrid (ARIMA+DL-resid),-0.956421129563322,-1.3526663221762985,-0.06456873155815178,0.05232383905686466
ARIMA,-1.0386875359675067,-1.4586708900659286,-0.067659191703532,0.05691612103320873
Naive_Persistence,-3.211138736975163,-4.3273280355255705,-0.02459234410896794,0.05483728923591445
