Model,RMSE,MAE,DoC,R2
HAR-RV,0.0064501657723002115,0.005101831167904276,0.5139664804469274,0.40004005456344094
ARIMA,0.007176997134549188,0.005266099067551905,0.4972067039106145,0.2572099972249078
Hybrid (ARIMA+DL),0.0074211194695759835,0.006111439561273976,0.5027932960893855,0.20581926000122408
GRU-only,0.007532569251150621,0.005833999374666287,0.4581005586592179,0.18178625582347074
Residual Hybrid (ARIMA+DL-resid),0.008271018823120698,0.006044172528017561,0.4748603351955307,0.013496744830562957
GARCH,0.00897133816168581,0.00803800651889439,0.4888268156424581,-0.1606331171547284
GJR-GARCH,0.008982017264049158,0.007927256846445789,0.49162011173184356,-0.1633978990852667
CNN-BiLSTM-Attn,0.010623191887384139,0.008977394792981598,0.5307262569832403,-0.6273859294774398
LSTM-only,0.012838314011541944,0.01100048788255498,0.4748603351955307,-1.376821087707278
CNN-only,0.016143373318095105,0.013748544137737505,0.49441340782122906,-2.758106508476363
Naive_Persistence,0.019003369750396057,0.017385631166798865,0.5,-257.00155517006493
SVR (RBF),0.02040287743174266,0.016562986700428717,0.5223463687150838,-5.002930917092589
