Model,Holdout,Horizon,RMSE,MAE
CrossAsset_CNN-BiLSTM-Attn,BTC-USD,1,0.011501710670105816,0.009726427920195428
CrossAsset_CNN-BiLSTM-Attn,ETH-USD,1,0.03554821738427997,0.031103358119805302
CrossAsset_CNN-BiLSTM-Attn,DOGE-USD,1,0.16210357680571633,0.1542986172937059
CrossAsset_CNN-BiLSTM-Attn,XRP-USD,1,0.015514197329903976,0.012211150538092444
