Regime,Model,RMSE,MAE,N
bear,Hybrid (ARIMA+DL),0.0053632607089015545,0.004329475372800695,50
bear,HAR-RV,0.006350096226287975,0.005396489634455274,50
bear,ARIMA,0.006403277990089719,0.004884928574990695,50
bear,Residual Hybrid (ARIMA+DL-resid),0.006969805643088177,0.005620063703856277,50
bear,CNN-BiLSTM-Attn,0.008829668458212269,0.007405791107692474,50
bear,GARCH,0.011409786507382981,0.008858838775101966,50
bear,Naive_Persistence,0.019478638180161243,0.01863092180898175,50
bear,CNN-only,0.02996470749341625,0.02730679809326521,50
bear,GJR-GARCH,0.033536616787654065,0.03075265634513811,50
bear,LSTM-only,0.061226188081963485,0.028048945496957408,50
bear,GRU-only,0.08297753461588157,0.034608058195805466,50
bear,SVR (RBF),0.09454108584623315,0.06330898931425458,50
bull,HAR-RV,0.005978649757479249,0.00433724340794291,72
bull,Hybrid (ARIMA+DL),0.006607228020260777,0.0052785734480801615,72
bull,ARIMA,0.007285118309197793,0.005569097019240459,72
bull,CNN-BiLSTM-Attn,0.00840605705112087,0.006637450442025125,72
bull,Residual Hybrid (ARIMA+DL-resid),0.009030403371238237,0.0071740944225903895,72
bull,GARCH,0.010368818217282031,0.007825279153781948,72
bull,Naive_Persistence,0.014038345899127763,0.012553220210046168,72
bull,CNN-only,0.029929287381324273,0.027016569902499406,72
bull,GJR-GARCH,0.03326075775003209,0.031133015319893813,72
bull,LSTM-only,0.04968450366885786,0.02639198859602312,72
bull,GRU-only,0.06778492337263138,0.03212451044381264,72
bull,SVR (RBF),0.09976779206809899,0.05949671316787291,72
calm,Hybrid (ARIMA+DL),0.005643384763415589,0.0044181929910093645,119
calm,CNN-BiLSTM-Attn,0.006755574895090909,0.005501022067851105,119
calm,ARIMA,0.006879944996363582,0.004897954436396847,119
calm,Residual Hybrid (ARIMA+DL-resid),0.0068841177610669295,0.004881922589924124,119
calm,HAR-RV,0.0076921299738281325,0.005962443557674716,119
calm,Naive_Persistence,0.012633075454169463,0.010733721348139937,119
calm,LSTM-only,0.013050647031031195,0.00889860137597964,119
calm,GARCH,0.013525382554668966,0.012410247247372934,119
calm,GRU-only,0.014928859690144245,0.010136869236104145,119
calm,CNN-only,0.04069798718508046,0.02991151027445774,119
calm,GJR-GARCH,0.04205841052512555,0.04063539228985652,119
calm,SVR (RBF),0.04569927738697292,0.03566068492910867,119
crisis,GARCH,0.010464350254908276,0.007730397991985569,119
crisis,HAR-RV,0.010563646050239309,0.007135882112975751,119
crisis,Residual Hybrid (ARIMA+DL-resid),0.010831624807778967,0.007722616654450827,119
crisis,ARIMA,0.01116648426205255,0.007466671127191451,119
crisis,Hybrid (ARIMA+DL),0.020203655702076908,0.01734694166081988,119
crisis,Naive_Persistence,0.03168999795280503,0.028926337205871358,119
crisis,CNN-only,0.033581302142642,0.03149924684285899,119
crisis,CNN-BiLSTM-Attn,0.03664795153651649,0.03222641890487621,119
crisis,GJR-GARCH,0.03802220296796787,0.027612826351143663,119
crisis,LSTM-only,0.0789725772971553,0.04702690972306988,119
crisis,SVR (RBF),0.08848813414039484,0.07188828777464418,119
crisis,GRU-only,0.09369305202675185,0.04796578242078991,119
