Date,Asset,News_Sentiment,News_Volume,Social_Sentiment,Social_Volume,Attention_Index,Sentiment_Disagreement,Market_FearGreed,FinBERT_Polarity
2020-01-01,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.26,0.0
2020-01-02,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.21999999999999997,0.0
2020-01-03,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.24,0.0
2020-01-04,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.24,0.0
2020-01-05,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.21999999999999997,0.0
2020-01-06,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.18000000000000005,0.0
2020-01-07,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.19999999999999996,0.0
2020-01-08,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.020000000000000018,0.0
2020-01-09,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0
2020-01-10,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.18000000000000005,0.0
2020-01-11,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-01-12,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.09999999999999998,0.0
2020-01-13,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2020-01-14,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0
2020-01-15,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2020-01-16,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.10000000000000009,0.0
2020-01-17,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2020-01-18,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.020000000000000018,0.0
2020-01-19,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.06000000000000005,0.0
2020-01-20,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.040000000000000036,0.0
2020-01-21,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2020-01-22,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.040000000000000036,0.0
2020-01-23,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2020-01-24,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.19999999999999996,0.0
2020-01-25,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.18000000000000005,0.0
2020-01-26,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.16000000000000003,0.0
2020-01-27,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-01-28,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.08000000000000007,0.0
2020-01-29,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0
2020-01-30,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0
2020-01-31,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.10000000000000009,0.0
2020-02-01,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0
2020-02-02,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0
2020-02-03,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.17999999999999994,0.0
2020-02-04,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0
2020-02-05,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.06000000000000005,0.0
2020-02-06,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.21999999999999997,0.0
2020-02-07,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0
2020-02-08,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0
2020-02-09,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0
2020-02-10,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0
2020-02-11,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.040000000000000036,0.0
2020-02-12,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.21999999999999997,0.0
2020-02-13,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.30000000000000004,0.0
2020-02-14,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.26,0.0
2020-02-15,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.28,0.0
2020-02-16,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.17999999999999994,0.0
2020-02-17,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.020000000000000018,0.0
2020-02-18,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.06000000000000005,0.0
2020-02-19,BTC-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-02-20,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0
2020-02-21,BTC-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0
