Date,Open,High,Low,Close,Volume,Log_Return,Volatility,Asset,News_Sentiment,News_Volume,Social_Sentiment,Social_Volume,Attention_Index,Sentiment_Disagreement,Market_FearGreed,FinBERT_Polarity,Active_Addresses,Tx_Count,Transfer_Volume_USD,Hash_Rate,Network_Cap_USD,RV_Week,RV_Month
2020-01-15,0.0024679999332875,0.0025410000234842,0.0023630000650882,0.0023690001107752,128940321,-0.0417501578593767,0.040932689485046,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.08,0.0,49980,34931,,,287342128.5326817,0.040932689485046,0.040932689485046
2020-01-16,0.002371999900788,0.002424000063911,0.002292999997735,0.0023449999280273,98124199,-0.0101826007306834,0.0408625897146038,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1,0.0,49025,34369,,,285734803.94887275,0.0408976395998249,0.0408976395998249
2020-01-17,0.0023459999356418,0.0025160000659525,0.0023099998943507,0.0024900001008063,117752841,0.0599973797547972,0.0403211435664026,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.08,0.0,50168,36249,,,301381746.0662566,0.040705474255350794,0.040705474255350794
2020-01-18,0.0024900001008063,0.0025380000006407,0.0024520000442862,0.002506999997422,108133943,0.0068040671867795,0.0391789816809951,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.02,0.0,45811,30955,,,315077017.3359209,0.04032385111176187,0.04032385111176187
2020-01-19,0.0025140000507235,0.0025700000114738,0.0023590000346302,0.0024049999192357,108085147,-0.041536948171978,0.0358786390253536,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.06,0.0,46257,30677,,,288784614.17436004,0.03943480869448022,0.03943480869448022
2020-01-20,0.0024049999192357,0.0024230000562965,0.0023590000346302,0.002373999916017,92022277,-0.0129736091645564,0.0356085949247476,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.04,0.0,45728,32264,,,290847830.2635746,0.03836998978242054,0.03879710639952478
2020-01-21,0.002373999916017,0.0024029999040067,0.0023350000847131,0.002375999931246,84321565,0.0008421117522064,0.0355081436838775,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.02,0.0,47155,32745,,,295511221.4409985,0.03729910057627528,0.03832725458300374
2020-01-22,0.002375999931246,0.0023990001063793,0.0023199999704957,0.0023229999933391,82852580,-0.02255892164261,0.0321241858185854,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.04,0.0,46709,31117,,,287412961.15791994,0.03565970902671184,0.03755187098745145
2020-01-23,0.0023229999933391,0.0023580000270158,0.0022380000445991,0.0022680000402033,91866620,-0.0239610473290943,0.0325045267108746,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.02,0.0,47551,32645,,,272369253.5356978,0.03432481803268774,0.03699105495672069
2020-01-24,0.0022680000402033,0.002292999997735,0.0022110000718384,0.0022760001011192,86865882,0.0035211571007468,0.0301063678142589,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.1999999999999999,0.0,55166,33453,,,273096136.29794806,0.0331703637904688,0.03630258624247451
2020-01-25,0.0022760001011192,0.0022760001011192,0.0022350000217556,0.0022569999564439,82421399,-0.0083830821554162,0.029833698153158,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.18,0.0,42913,28017,,,274290896.7012477,0.03201538443615089,0.0357145055070821
2020-01-26,0.0022579999640583,0.0023070001043379,0.0022400000598281,0.0023050000891089,73458474,0.0210442365704156,0.0293101045241925,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.16,0.0,39979,26484,,,277937022.0694842,0.030775776604213878,0.035180805425174634
2020-01-27,0.0023040000814944,0.0024129999801516,0.00228299992159,0.0023680001031607,89023414,0.0269650454786705,0.0302233352779431,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0,48269,31003,,,290367498.0388188,0.03039560649608542,0.03479946156769528
2020-01-28,0.0023650000803172,0.0024500000290572,0.0023630000650882,0.0024500000290572,91528771,0.0340422758304838,0.0289255328309455,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.08,0.0,119545,32485,,,299683864.0469005,0.0296798077200996,0.034379895229356014
2020-01-29,0.0024510000366717,0.0024709999561309,0.0023900000378489,0.0023900000378489,80676219,-0.0247946546369437,0.0273830112388498,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0,82791,31030,,,291594776.97874045,0.029135136405017782,0.033913436296655594
2020-01-30,0.0023910000454634,0.0024459999985992,0.0023709998931735,0.0024399999529123,83967914,0.0207046382270855,0.027687391546191,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0,50485,30172,,,299082434.8602395,0.028705875083624377,0.03352430849975156
2020-01-31,0.0024399999529123,0.0024580000899732,0.0023690001107752,0.0023940000683069,76519295,-0.0190323843385549,0.0227536477453836,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1,0.0,50493,30432,,,289948763.5016959,0.027394583727862597,0.032890740220082856
2020-02-01,0.0023910000454634,0.0024309998843818,0.002381999976933,0.002422000048682,78730830,0.011628029562526,0.0229461221238544,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0,56366,32997,,,294150682.09176207,0.02593914109704486,0.03233826143695905
2020-02-02,0.0024210000410676,0.0025059999898076,0.0023950000759214,0.0024679999332875,91552515,0.0188144137812884,0.0205888440390942,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0,72746,36475,,,303849049.2157429,0.0242718033386746,0.03171987104759775
2020-02-03,0.0024659999180585,0.002517000073567,0.0024270000867545,0.0024399999529123,78856631,-0.0114100590052596,0.0205063423122983,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1799999999999999,0.0,45152,28024,,,296987543.8619779,0.022896469553364298,0.031159194610832774
2020-02-04,0.0024379999376833,0.0025029999669641,0.0024019998963922,0.0025029999669641,89790002,0.0254919792442404,0.0214400747006694,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0,51403,29656,,,306710069.7760751,0.02164700618425998,0.030696379377015474
2020-02-05,0.0025029999669641,0.0026300000026822,0.0024920001160353,0.0025820001028478,105741619,0.0310743330059403,0.0211734126913674,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.06,0.0,45557,26689,,,315698820.01860744,0.02133095917345674,0.030263517254940562
2020-02-06,0.0025830001104623,0.0026769998949021,0.0025740000419318,0.0026529999449849,108711614,0.0271267221616019,0.0196741041407048,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.2199999999999999,0.0,44042,27148,,,327881048.86957824,0.020676555576826818,0.029297217921106865
2020-02-07,0.0026539999525994,0.002769999904558,0.0026469998992979,0.0027689998969435,130273878,0.0427951525522324,0.0212332655602395,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0,57544,30879,,,344769438.5195237,0.02080543988105588,0.028404975914090306
2020-02-08,0.0027670001145452,0.0032089999876916,0.0027220000047236,0.0031590000726282,203803814,0.1317693378399494,0.0370294067080878,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0,65963,29829,,,390017441.7149751,0.02411005276021378,0.02825535151143964
2020-02-09,0.0031560000497847,0.003531000111252,0.0031520000193268,0.0032319999299943,218861527,0.022845574187833,0.037021416370119,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1200000000000001,0.0,48534,26479,,,393960303.1277291,0.027226321094103702,0.02815728036094527
2020-02-10,0.0032339999452233,0.003303000004962,0.0029039999935775,0.0029859999194741,195582003,-0.0791664468494929,0.0461420895615554,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1399999999999999,0.0,65299,24152,,,368523943.7240586,0.032220056468141293,0.02862380083986353
2020-02-11,0.0030110001098364,0.003084999974817,0.0028639999218285,0.0030410001054406,169747135,0.0182517712190446,0.0458741875061181,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.04,0.0,89414,25123,,,373009619.0475599,0.03746007314122396,0.029090418684471278
2020-02-12,0.0030410001054406,0.0031729999464005,0.0030129998922348,0.0030930000357329,181406960,0.016955061887554,0.0443908051746996,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.2199999999999999,0.0,87382,25926,,,377982310.14538616,0.04209158106411598,0.029494176024963195
2020-02-13,0.0030640000477433,0.003216000040993,0.0029730000533163,0.0030259999912232,168543942,-0.0218998927900819,0.04566406891912,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.3,0.0,85369,24965,,,372621256.19900125,0.04381851350632242,0.030109625256805675
2020-02-14,0.0029990000184625,0.0031469999812543,0.0029810001142323,0.0031300000846385,140849233,0.0337914191274395,0.0447761330720166,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.26,0.0,139944,24159,,,388813405.0996039,0.04536945684670194,0.030667425545948493
2020-02-15,0.0030980000738054,0.0031810000073164,0.0028389999642968,0.0029200001154094,144726029,-0.0694493757891575,0.0506777753948133,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.28,0.0,90905,24292,,,356114557.8495546,0.046276594013353524,0.031602489526882785
2020-02-16,0.002917000092566,0.0029649999924004,0.0026259999722242,0.002773999935016,149831933,-0.0512933573374356,0.0534831436614648,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.1799999999999999,0.0,40126,25046,,,339794349.7735358,0.047798385244422856,0.032677464322714914
2020-02-17,0.0027399999089539,0.002771999919787,0.0025470000691711,0.0027119999285787,149622002,-0.0226039547236791,0.0538834320467897,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.02,0.0,40338,24863,,,327382190.09077644,0.04969691061884088,0.03379443375556024
2020-02-18,0.0026769998949021,0.0028460000175982,0.0026549999602138,0.0028389999642968,144188844,0.0457655211719889,0.0546694276633652,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.06,0.0,40406,25200,,,350087129.6935654,0.05149798236768992,0.034905619773079426
2020-02-19,0.0028389999642968,0.0028739999979734,0.0026239999569952,0.0026239999569952,136889052,-0.0787520102220261,0.0589684948542288,DOGE-USD,0.0,0,0.0,0,0.0,0.0,0.0,0.0,91137,25073,,,326650215.41030025,0.05433645472413236,0.03627120895595594
2020-02-20,0.0026249999646097,0.0026730000972747,0.0025690000038594,0.0026589999906718,187866681,0.0132502540599126,0.058613877626696,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0,39419,24078,,,322580695.00787497,0.055923675170508905,0.03769079379176713
2020-02-21,0.0026559999678283,0.0027030000928789,0.0026140001136809,0.0026479999069124,157652567,-0.0041455058318982,0.0573156897894064,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0,38949,23991,,,325052317.50185573,0.05669018439609722,0.03903753462100419
2020-02-22,0.0026499999221414,0.0026549999602138,0.0025770000647753,0.0026010000146925,156145895,-0.0179086108055303,0.0421609109586958,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.14,0.0,42902,24892,,,318266969.56459063,0.05434568017847844,0.039919682948882027
2020-02-23,0.002600000007078,0.0026819999329745,0.00259599997662,0.0026799999177455,180747902,0.0299207717155002,0.0426743082021141,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.0799999999999999,0.0,41555,25664,,,328888422.88675827,0.05194665628622822,0.04081641867971201
2020-02-24,0.002678999910131,0.002686999971047,0.0025569999124854,0.0025899999309331,159143744,-0.0341589147861246,0.0388619269803899,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.0799999999999999,0.0,41612,25964,,,318518879.39288133,0.04792534271146044,0.04164701335886181
2020-02-25,0.0025899999309331,0.0025909999385476,0.0024359999224543,0.0024759999942034,178541404,-0.0450134965634417,0.038981804464934,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.12,0.0,42247,24827,,,304293175.5605704,0.04399892807910803,0.04248680709307253
2020-02-26,0.0024749999865889,0.0024870000779628,0.0022110000718384,0.002339000115171,201370789,-0.0569208156397632,0.0393680839596137,DOGE-USD,0.0,0,0.0,0,0.0,0.0,-0.18,0.0,75843,28268,,,290213811.9728038,0.0404094069131495,0.04330171660484272
